TrialNames,Indiv,Trial,Speed,Amps,Angs,Freq,Position,Condition,Species,DaysPostAmp,SL,AmpsMax,NumPeaksOld,NumPeaks
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.009593188,0.964591743,0.993103448,90,Regen,Bspot,136,0.043824238,0.034055631,0.831724138,1.07862069
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.015825541,1.09177523,0.910344828,95,Regen,Bspot,136,0.043824238,0.032254384,0.831724138,1.07862069
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.008972511,0.436843509,1.406896552,100,Regen,Bspot,136,0.043824238,0.046184115,0.831724138,1.07862069
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.008620107,1.336144646,1.132075472,0,Regen,Bspot,136,0.013687125,0.013300143,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.005175225,1.254147998,1.455525606,5,Regen,Bspot,136,0.013687125,0.011489999,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.005213049,1.189723632,1.293800539,10,Regen,Bspot,136,0.013687125,0.010488349,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.003766926,1.172544622,1.617250674,15,Regen,Bspot,136,0.013687125,0.0084044,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.00348252,1.284969032,2.425876011,20,Regen,Bspot,136,0.013687125,0.008116204,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.00316555,1.06885319,2.264150943,25,Regen,Bspot,136,0.013687125,0.007803846,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.00292687,1.309022576,2.264150943,30,Regen,Bspot,136,0.013687125,0.008285278,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.002247177,1.175873167,2.425876011,35,Regen,Bspot,136,0.013687125,0.00702969,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.002088049,0.616125349,2.425876011,40,Regen,Bspot,136,0.013687125,0.006588162,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.002565928,0.746965956,2.102425876,45,Regen,Bspot,136,0.013687125,0.005981435,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.002637164,0.555446574,2.102425876,50,Regen,Bspot,136,0.013687125,0.00547375,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.002610021,0.491643191,2.102425876,55,Regen,Bspot,136,0.013687125,0.00579076,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.002572266,0.697752215,3.71967655,60,Regen,Bspot,136,0.013687125,0.007336371,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.003898627,1.168087748,2.911051213,65,Regen,Bspot,136,0.013687125,0.008681862,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.004811418,1.258459288,2.264150943,70,Regen,Bspot,136,0.013687125,0.00948661,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.005532062,1.238122955,2.425876011,75,Regen,Bspot,136,0.013687125,0.01004495,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.004185891,1.107377595,3.07277628,80,Regen,Bspot,136,0.013687125,0.009980365,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.002733328,0.80266934,2.587601078,85,Regen,Bspot,136,0.013687125,0.00878427,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.002818557,1.064758343,2.102425876,90,Regen,Bspot,136,0.013687125,0.009531931,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.003191035,1.299174493,2.587601078,95,Regen,Bspot,136,0.013687125,0.010947178,1.315363881,1.363881402
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.05091168,0.002929158,2.312945386,2.102425876,100,Regen,Bspot,136,0.013687125,0.014284916,1.315363881,1.363881402
Bspot2018_006_GoPro_T55_1395-320,Bspot2018_006,T55_,0.336486088,0.02020214,4.62058601,2.048780488,0,Regen,Bspot,140,0.11496608,0.036622554,1.863414634,1.951219512
Bspot2018_006_GoPro_T55_1395-320,Bspot2018_006,T55_,0.336486088,0.013957807,3.628004791,2.341463415,5,Regen,Bspot,140,0.11496608,0.03241866,1.863414634,1.951219512
Bspot2018_006_GoPro_T55_1395-320,Bspot2018_006,T55_,0.336486088,0.015171483,3.442228376,2.048780488,10,Regen,Bspot,140,0.11496608,0.033907373,1.863414634,1.951219512
Bspot2018_006_GoPro_T55_1395-320,Bspot2018_006,T55_,0.336486088,0.009829332,1.003147865,2.926829268,15,Regen,Bspot,140,0.11496608,0.029374014,1.863414634,1.951219512
Bspot2018_006_GoPro_T55_1395-320,Bspot2018_006,T55_,0.336486088,0.006724785,0.642190982,1.463414634,20,Regen,Bspot,140,0.11496608,0.025777818,1.863414634,1.951219512
Bspot2018_006_GoPro_T55_1395-320,Bspot2018_006,T55_,0.336486088,0.008578071,0.679736866,1.756097561,25,Regen,Bspot,140,0.11496608,0.016505196,1.863414634,1.951219512
Bspot2018_006_GoPro_T55_1395-320,Bspot2018_006,T55_,0.336486088,0.01129422,1.258888565,2.048780488,30,Regen,Bspot,140,0.11496608,0.032545067,1.863414634,1.951219512
Bspot2018_006_GoPro_T55_1395-320,Bspot2018_006,T55_,0.336486088,0.016235098,1.638699503,1.756097561,35,Regen,Bspot,140,0.11496608,0.039800132,1.863414634,1.951219512
Bspot2018_006_GoPro_T55_1395-320,Bspot2018_006,T55_,0.336486088,0.018384584,1.424179696,2.048780488,40,Regen,Bspot,140,0.11496608,0.042110555,1.863414634,1.951219512
Bspot2018_006_GoPro_T55_1395-320,Bspot2018_006,T55_,0.336486088,0.014728407,1.179554374,2.048780488,45,Regen,Bspot,140,0.11496608,0.04399749,1.863414634,1.951219512
Bspot2018_006_GoPro_T55_1395-320,Bspot2018_006,T55_,0.336486088,0.012839071,0.881666151,1.756097561,50,Regen,Bspot,140,0.11496608,0.037923451,1.863414634,1.951219512
Bspot2018_006_GoPro_T55_1395-320,Bspot2018_006,T55_,0.336486088,0.01051046,0.664825592,1.756097561,55,Regen,Bspot,140,0.11496608,0.02586486,1.863414634,1.951219512
Bspot2018_006_GoPro_T55_1395-320,Bspot2018_006,T55_,0.336486088,0.010096935,0.672432543,2.048780488,60,Regen,Bspot,140,0.11496608,0.015985136,1.863414634,1.951219512
