TrialNames,Indiv,Trial,Slope,Int,Position,Condition,Species
Bspot2018_009_GoPro_T54_2078-959,Bspot2018_009,T54_,0.26450335,0.167542017,pelv,Regen,Bspot
Bspot2018_009_GoPro_T56_2412-1119,Bspot2018_009,T56_,0.376760844,0.728690808,pelv,Regen,Bspot
Bspot2018_009_GoPro_T62_2415-618,Bspot2018_009,T62_,0.2724703,-0.50212963,pelv,Regen,Bspot
Bspot2018_009_GoPro_T63_1869-535,Bspot2018_009,T63_,0.180972973,-0.063303303,pelv,Regen,Bspot
Bspot2018_009_GoPro_T64_1404-772,Bspot2018_009,T64_,0.396075363,-0.122374453,pelv,Regen,Bspot
Bspot2018_009_GoPro_T65_1300-618,Bspot2018_009,T65_,0.088867188,0.046549479,pelv,Regen,Bspot
Bspot2018_009_GoPro_T75_1763-1115_000000,Bspot2018_009,T75_,0.111749222,-0.169817341,pelv,Regen,Bspot
Bspot2018_009_GoPro_T76_1941-816_000000,Bspot2018_009,T76_,0.302380952,0.034660267,pelv,Regen,Bspot
Bspot2018_009_GoPro_T77_1441-523_000000,Bspot2018_009,T77_,0.198410088,-0.109758772,pelv,Regen,Bspot
Bspot2018_009_GoPro_T78_1316-1016_000000,Bspot2018_009,T78_,0.07859003,-0.076171875,pelv,Regen,Bspot
Bspot2018_009_GoPro_T79-1691-520_000000,Bspot2018_009,T79-,0.096262734,0.054113159,pelv,Regen,Bspot
Bspot2018_009_GoPro_T80b_1441-533_000000,Bspot2018_009,T80b,0.11096808,-0.033137973,pelv,Regen,Bspot
Bspot2018_009_GoPro_T81_1480-171_000000,Bspot2018_009,T81_,0.145621118,-0.144875776,pelv,Regen,Bspot
Bspot2018_009_GoPro_T83_1290-184_000000,Bspot2018_009,T83_,0.141196581,-0.090769231,pelv,Regen,Bspot
Bspot2018_009_GoPro_T90a-4987-4171,Bspot2018_009,T90a,0.12571875,0.03965625,pelv,Regen,Bspot
Bspot2018_009_GoPro_T91b_3974-3566,Bspot2018_009,T91b,0.114975845,-0.02705314,pelv,Regen,Bspot
Bspot2018_009_GoPro_T91d_1684-559,Bspot2018_009,T91d,0.113389912,0.163808017,pelv,Regen,Bspot
Bspot2018_010_GoPro_T14_1625-773_000000,Bspot2018_010,T14_,0.153607724,-0.138058943,pelv,Regen,Bspot
Bspot2018_010_GoPro_T15_2615-1015_000000,Bspot2018_010,T15_,0.06861454,-0.009373571,pelv,Regen,Bspot
Bspot2018_010_GoPro_T17_1619-136_000000,Bspot2018_010,T17_,0.067500861,0.000306474,pelv,Regen,Bspot
Bspot2018_010_GoPro_T22_1524-532_000000,Bspot2018_010,T22_,0.120391329,-0.002563501,pelv,Regen,Bspot
Bspot2018_010_GoPro_T59_1541-224,Bspot2018_010,T59_,0.221597332,-0.331991642,pelv,Regen,Bspot
Bspot2018_010_GoPro_T60_1672-480,Bspot2018_010,T60_,0.285913278,-0.210516453,pelv,Regen,Bspot
Bspot2018_010_GoPro_T64_1033-361,Bspot2018_010,T64_,0.106133695,0.068608853,pelv,Regen,Bspot
Bspot2018_010_GoPro_T66_1020-355,Bspot2018_010,T66_,0.103765432,0.053148148,pelv,Regen,Bspot
Bspot2018_010_GoPro_T71_763-370,Bspot2018_010,T71_,0.089784736,0.029284627,pelv,Regen,Bspot
Bspot2018_010_GoPro_T74_1063-337_000000,Bspot2018_010,T74_,0.105613426,-0.102233796,pelv,Regen,Bspot
Bspot2018_010_GoPro_T75_1634-410_000000,Bspot2018_010,T75_,0.333186247,0.381467181,pelv,Regen,Bspot
Bspot2018_010_GoPro_T76_1523-918_000000,Bspot2018_010,T76_,0.146770186,0.174589372,pelv,Regen,Bspot
Bspot2018_010_GoPro_T79b_1092-0_000000,Bspot2018_010,T79b,0.149986395,-0.090296296,pelv,Regen,Bspot
Bspot2018_010_GoPro_T84_1263-513_000000,Bspot2018_010,T84_,0.098854732,-0.103676914,pelv,Regen,Bspot
Bspot2018_010_GoPro_T85_1509-975_000000,Bspot2018_010,T85_,0.158216045,0.51323012,pelv,Regen,Bspot
Bspot2018_010_GoPro_T88_2565-1788_000000,Bspot2018_010,T88_,0.113285024,-0.020289855,pelv,Regen,Bspot
Bspot2018_010_GoPro_T90f_1250_617,Bspot2018_010,T90f,0.109276316,-0.082741228,pelv,Regen,Bspot
Bspot2019_006_GoPro_T83_1625-701_000000,Bspot2019_006,T83_,0.141372549,0.025245098,pelv,Regen,Bspot
Bspot2019_006_GoPro_T84_1627-556_000000,Bspot2019_006,T84_,0.170152505,0.118627451,pelv,Regen,Bspot
Bspot2019_009_GoPro_T85_1491-755_000000,Bspot2019_009,T85_,0.11386918,0.073979592,pelv,Regen,Bspot
Bspot2019_009_GoPro_T86_1411-375_000000,Bspot2019_009,T86_,0.152359273,-0.053146445,pelv,Regen,Bspot
Bspot2019_009_GoPro_T87_1700-568_000000,Bspot2019_009,T87_,0.246615837,-0.234644195,pelv,Regen,Bspot
Bspot2019_009_GoPro_T88_2286-633_000000,Bspot2019_009,T88_,0.128371628,-0.077322677,pelv,Regen,Bspot
Bspot2018_006_GoPro_T19_1461-213_000000,Bspot2018_006,T19_,0.118181818,0.046428571,tail,Regen,Bspot
Bspot2018_006_GoPro_T20_1998-278_000001,Bspot2018_006,T20_,0.148870056,-0.028013183,tail,Regen,Bspot
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.096399535,-0.096399535,tail,Regen,Bspot
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.177015873,-0.143835391,tail,Regen,Bspot
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.364841465,-0.246541037,tail,Regen,Bspot
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.208712751,-0.30788115,tail,Regen,Bspot
Bspot2018_006_GoPro_T55_1395-320,Bspot2018_006,T55_,0.163017429,-0.108864379,tail,Regen,Bspot
Bspot2018_006_GoPro_T56_1084-387,Bspot2018_006,T56_,0.210662594,0.021809211,tail,Regen,Bspot
Bspot2018_006_GoPro_T57_1752-751_1,Bspot2018_006,T57_,0.100607978,0.027641305,tail,Regen,Bspot
Bspot2018_006_GoPro_T59_3303-251,Bspot2018_006,T59_,0.261206737,-0.030750877,tail,Regen,Bspot
Bspot2018_006_GoPro_T63_1572-368,Bspot2018_006,T63_,0.089130435,-0.031561997,tail,Regen,Bspot
Bspot2018_006_GoPro_T64_1724-788,Bspot2018_006,T64_,0.279977679,-0.260639881,tail,Regen,Bspot
Bspot2018_006_GoPro_T74_1388-902_000000,Bspot2018_006,T74_,0.103964286,0.032964286,tail,Regen,Bspot
Bspot2018_006_GoPro_T75_1395-615_000000,Bspot2018_006,T75_,0.155018315,-0.025274725,tail,Regen,Bspot
Bspot2018_006_GoPro_T76_1904-473_000000,Bspot2018_006,T76_,0.242154356,-0.289459635,tail,Regen,Bspot
Bspot2018_006_GoPro_T77_2382-908_000000,Bspot2018_006,T77_,0.204141049,0.104546414,tail,Regen,Bspot
Bspot2018_006_GoPro_T80_4421-3847_000000,Bspot2018_006,T80_,4.529309524,0,tail,Regen,Bspot
Bspot2018_006_GoPro_T85a_3770-2520,Bspot2018_006,T85a,0.214993565,-0.315759916,tail,Regen,Bspot
Bspot2018_006_GoPro_T85b_1158-329,Bspot2018_006,T85b,0.307703488,-0.207945736,tail,Regen,Bspot
Bspot2018_006_GoPro_T87_1829-729,Bspot2018_006,T87_,0.138479785,0.068791254,tail,Regen,Bspot
Bspot2018_006_GoPro_T88a_4227-2994,Bspot2018_006,T88a,0.141601495,-0.035974974,tail,Regen,Bspot
Bspot2018_006_GoPro_T88b_2132-901,Bspot2018_006,T88b,0.093237295,0.135054022,tail,Regen,Bspot
Bspot2018_009_GoPro_T19_1500-394_000000,Bspot2018_009,T19_,0.0935,0.056666667,tail,Regen,Bspot
Bspot2018_009_GoPro_T21_1026-0_000000,Bspot2018_009,T21_,0.085908883,-0.008440171,tail,Regen,Bspot
Bspot2018_009_GoPro_T53_1410-352,Bspot2018_009,T53_,0.291583569,0.356503704,tail,Regen,Bspot
Bspot2018_009_GoPro_T54_2078-959,Bspot2018_009,T54_,0.231452875,0.309997528,tail,Regen,Bspot
Bspot2018_009_GoPro_T56_2412-1119,Bspot2018_009,T56_,0.345961003,-0.197771588,tail,Regen,Bspot
Bspot2018_009_GoPro_T62_2415-618,Bspot2018_009,T62_,0.336172881,0.210182689,tail,Regen,Bspot
Bspot2018_009_GoPro_T63_1869-535,Bspot2018_009,T63_,0.2325,-0.136447876,tail,Regen,Bspot
